product_id,product_name,category,price_cad,units_sold,revenue_cad,sale_date,region
P001,Wireless Headphones,Electronics,129.99,45,5849.55,2025-08-01,Quebec
P002,Coffee Maker,Appliances,89.99,23,2069.77,2025-08-01,Ontario
P003,Running Shoes,Sports,159.99,31,4959.69,2025-08-01,BC
P004,Smartphone Case,Electronics,24.99,78,1949.22,2025-08-01,Alberta
P005,Yoga Mat,Sports,49.99,52,2599.48,2025-08-01,Quebec
P006,Desk Lamp,Furniture,79.99,19,1519.81,2025-08-01,Ontario
P007,Bluetooth Speaker,Electronics,199.99,36,7199.64,2025-08-01,BC
P008,Water Bottle,Sports,29.99,67,2009.33,2025-08-01,Alberta
P009,Office Chair,Furniture,299.99,8,2399.92,2025-08-01,Quebec
P010,Tablet Stand,Electronics,39.99,43,1719.57,2025-08-01,Ontario
